Peak Brightness Date/Time (UT),Latitude (deg.),Longitud (dg.),Altitude (km),Velocity (km/s),vx,vy,vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt)
2/2/2021 10:03,48.7,80.1,20,12.8,4,-6.7,-10.1,31000000000,0.11
1/31/2021 2:59,5.3,115.2,39.4,15.2,14,-5.8,1.7,267000000000,0.72
1/29/2021 16:12,38.8,51.3,30,14.3,-14.2,1.9,-0.6,77000000000,0.24
1/25/2021 3:01,38.5,47.6,19.1,,,,,75000000000,0.23
1/24/2021 7:33,45,95.5,37.5,19.2,13.3,-3.7,13.3,61000000000,0.2
12/29/2020 20:32,14.9,158.2,33,14.4,-3,10.2,-9.7,49000000000,0.16
12/28/2020 17:27,36.8,54.7,28.3,15.2,1.5,3.5,-14.7,57000000000,0.18
12/22/2020 23:23,31.9,96.2,35.5,13.6,-2.6,5.9,-12.1,4900000000000,9.5
11/28/2020 16:34,33.3,135.1,28.1,19.6,1.8,-16.5,-10.4,26000000000,0.092
11/25/2020 12:20,30.5,81,,,,,,21000000000,0.076
11/7/2020 21:27,59.8,16.8,22.3,16.7,-10.8,1.2,-12.7,111000000000,0.33
10/26/2020 15:09,5.9,160.4,28.5,17.6,10.9,-13.8,-0.1,114000000000,0.34
10/23/2020 20:51,30,71.9,48,,,,,80000000000,0.25
10/22/2020 17:39,22,133.5,40,17.6,-9.4,14.1,-4.9,44000000000,0.15
10/21/2020 18:57,12.9,150.2,,,,,,22000000000,0.079
10/21/2020 6:38,29.7,93.9,39,,,,,27000000000,0.095
10/19/2020 7:05,48.6,93.9,40.7,,,,,21000000000,0.076
10/18/2020 10:52,11.4,135.8,36,16.4,15.6,1.5,4.9,36000000000,0.12
9/18/2020 8:05,2.4,169.7,46,11.7,10.2,2.9,-4.9,41000000000,0.14
8/30/2020 16:08,26,133.5,27.8,23.4,7.8,-21.7,3.7,64000000000,0.2
8/2/2020 16:36,35.1,34.2,38,11.1,0.5,6,9.3,74000000000,0.23
7/22/2020 2:55,20,103.8,36,,,,,22000000000,0.079
7/20/2020 21:25,51.8,11.2,31.6,14.1,-2.9,-1,-13.8,50000000000,0.16
7/12/2020 7:50,48.7,74,29.4,18.3,-5,-13,-11.9,75000000000,0.23
5/27/2020 17:30,40.8,41.7,29.3,14.9,-6,-7.3,-11.5,57000000000,0.18
5/18/2020 1:11,38.7,77.2,25,,,,,162000000000,0.46
5/12/2020 23:22,15.9,174.2,,,,,,83000000000,0.26
