Peak Brightness Date/Time (UT),Latitude (deg.),Longitud (dg.),Altitude (km),Velocity (km/s),vx,vy,vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt)
10/17/2014 14:07,4.6,66.3,39,,,,,72000000000,0.23
10/14/2014 10:25,2,119.2,27.2,16.9,15,-6.9,-3.5,29000000000,0.1
10/6/2014 20:02,43.7,85.7,,,,,,39000000000,0.13
9/9/2014 18:55,3.2,137.2,32.5,,,,,28000000000,0.098
9/5/2014 21:37,22.7,150,,,,,,35000000000,0.12
8/29/2014 23:15,6.2,49.9,,,,,,26000000000,0.092
8/28/2014 3:07,3.2,45.4,,,,,,34000000000,0.12
8/23/2014 6:29,61.7,132.6,22.2,16.2,-2.3,5.7,16.5,3820000000000,7.6
7/29/2014 7:38,49.2,172.2,,,,,,73000000000,0.23
7/29/2014 3:07,33.9,115.9,,,,,,53000000000,0.17
6/28/2014 2:40,18.9,141.2,26.3,12.4,12,3.5,-10.5,245000000000,0.67
6/26/2014 5:54,71.5,93.4,28.5,11.2,7,2.9,8.3,61000000000,0.2
5/29/2014 1:12,21.9,131.1,28.7,,,,,58000000000,0.19
5/16/2014 20:06,39.4,95.9,30.8,18,2.9,13.4,-12.5,136000000000,0.4
5/16/2014 12:42,44.2,176.2,44,16.5,14.4,4.6,6.5,309000000000,0.82
5/8/2014 19:42,36.9,87.3,35.4,19,-2,-16.1,9.9,1050000000000,2.4
3/29/2014 13:45,28.7,121.5,30.7,16.3,10,-12.7,2.2,39000000000,0.13
3/18/2014 11:02,0,111.8,30.5,,,,,540000000000,1.3
3/3/2014 15:00,29,94.9,,,,,,94000000000,0.29
2/18/2014 12:50,32.8,61.5,,,,,,26000000000,0.092
2/13/2014 6:47,13.3,110.7,25,,,,,630000000000,1.5
1/15/2014 2:46,18.5,141.8,29.6,,,,,140000000000,0.41
1/12/2014 16:00,2.9,64.4,37,16.2,-5.2,-15.1,2.6,78000000000,0.24
1/8/2014 17:05,1.3,147.6,18.7,44.8,-3.4,-43.5,-10.3,31000000000,0.11
12/23/2013 8:30,39.5,2,34.3,15.1,-1.1,11.4,-9.9,147000000000,0.43
12/8/2013 3:10,32.8,165.1,23.5,11.8,2.3,2.5,-11.3,64000000000,0.2
11/21/2013 1:50,44.7,35.3,59.3,12.4,-5,-11,-2.7,75000000000,0.23
10/12/2013 16:06,19.1,25,22.2,12.8,-8,8.4,-5.5,1610000000000,3.5
10/9/2013 17:27,,,,,,,,60000000000,0.19
9/24/2013 15:31,10.3,164.7,40.7,,,,,160000000000,0.46
8/12/2013 18:08,34.4,118.2,66.6,,,,,44000000000,0.15
7/31/2013 7:00,,,,,,,,39000000000,0.13
7/31/2013 3:50,31.8,137.1,29.1,17.8,17.7,-2.3,-0.1,69000000000,0.22
7/30/2013 2:36,50.2,90.2,25.6,18.8,15.9,-8.6,5.1,390000000000,1
7/27/2013 8:30,0.3,156.2,26.5,22.1,16,14.9,-3.3,120000000000,0.36
7/26/2013 11:32,21,178.5,37,,,,,20000000000,0.073
7/18/2013 0:46,,,,,,,,22000000000,0.079
6/13/2013 2:51,,,,,,,,22000000000,0.079
6/1/2013 22:49,65.6,138.4,28.9,,,,,34000000000,0.12
5/14/2013 23:20,3,76.4,,,,,,20000000000,0.073
4/30/2013 8:40,35.5,30.7,21.2,12.1,1,9,-8,5110000000000,10
4/21/2013 6:23,28.1,64.6,40.7,14.9,5,14,1,1070000000000,2.5
3/12/2013 10:32,32.7,17.1,26,,,,,29000000000,0.1
2/20/2013 13:13,23,38.8,,13.6,-11,-8,-1,32000000000,0.1
2/15/2013 3:20,54.8,61.1,23.3,18.6,12.8,-13.3,-2.4,375000000000000,440
2/7/2013 13:12,18.8,158.6,,,,,,65000000000,0.21
1/25/2013 7:40,60.3,64.6,,,,,,3400000000000,6.9
1/12/2013 3:04,15.1,155.6,36.1,,,,,48000000000,0.16
12/30/2012 7:25,17.3,83.6,,,,,,198000000000,0.55
12/18/2012 11:19,,,,,,,,27000000000,0.095
11/20/2012 20:37,2.5,29.6,33.3,14.3,-12.2,-5.3,5.3,25000000000,0.089
11/20/2012 6:25,8,86,,,,,,120000000000,0.36
10/25/2012 15:57,,,,,,,,30000000000,0.1
10/19/2012 16:26,75.4,49.6,29.3,13.2,-2.3,-3.9,12.4,23000000000,0.082
10/9/2012 0:54,51.2,84.6,27.8,13.5,3.4,12,5.1,210000000000,0.58
10/3/2012 22:50,41.5,21.9,,17,-2.4,5.5,15.9,280000000000,0.75
10/2/2012 16:38,8.1,111.9,35,15.4,1.4,15.3,1,470000000000,1.2
9/28/2012 5:44,6.9,73.7,,,,,,38000000000,0.13
9/18/2012 19:34,1.2,52.2,28.1,18.3,-1.9,14.1,-11.5,244000000000,0.67
9/11/2012 22:07,18.9,105.2,,,,,,52000000000,0.17
9/10/2012 1:03,69.8,111.7,23.8,16.9,-10.2,-5.2,12.4,23000000000,0.082
8/27/2012 6:57,18.3,64.2,38.7,28.9,-8,-23.7,-14.5,68000000000,0.22
8/26/2012 14:55,11.8,117,36,12.7,5,-11.6,-0.7,249000000000,0.68
8/13/2012 5:31,,,,,,,,33000000000,0.11
7/27/2012 4:19,63.1,172.3,27.2,,,,,34000000000,0.12
7/25/2012 7:48,36.4,41.5,26.8,18.5,0.8,2,-18.4,133000000000,0.39
6/5/2012 7:44,,,,,,,,24000000000,0.086
5/25/2012 11:31,41.8,36.2,,,,,,60000000000,0.19
5/22/2012 8:31,,,,,,,,211000000000,0.59
5/15/2012 11:04,61.8,135.5,33.3,17.1,-0.8,1.1,17,132000000000,0.39
5/4/2012 21:54,76.7,10.6,,,,,,229000000000,0.63
4/23/2012 22:01,36.2,107.4,25.2,,,,,44000000000,0.15
4/21/2012 16:08,15.8,174.8,,,,,,143000000000,0.42
4/19/2012 22:12,5.5,16.8,,,,,,30000000000,0.1
4/2/2012 16:50,28.1,95.2,,,,,,32000000000,0.11
3/12/2012 6:40,2.5,139.8,25,11.8,0.1,-11.8,0.3,99000000000,0.3
3/3/2012 21:28,7.8,2.7,20.4,,,,,101000000000,0.31
3/1/2012 3:12,46.9,29.8,,,,,,22000000000,0.079
2/24/2012 19:11,22.7,30.8,,,,,,37000000000,0.13
2/17/2012 10:47,3.2,39.9,45.6,,,,,154000000000,0.44
2/16/2012 4:50,9.8,151.8,,,,,,98000000000,0.3
2/12/2012 5:25,31.7,54.9,61,,,,,140000000000,0.41
2/4/2012 14:42,32.4,0.1,34.2,12.2,-3.9,10.9,4,150000000000,0.43
1/15/2012 12:26,64.1,109.9,26.3,12.3,-1.9,5.1,11,21000000000,0.076
1/11/2012 2:23,32.2,88.5,,,,,,85000000000,0.26
12/19/2011 11:35,30.2,52.6,36.1,,,,,135000000000,0.4
12/14/2011 5:01,62.9,89.6,32.4,,,,,50000000000,0.16
12/11/2011 17:29,,,,,,,,29000000000,0.1
11/20/2011 5:25,27.9,116.3,,,,,,23000000000,0.082
10/12/2011 7:13,26.4,78.4,,,,,,36000000000,0.12
9/13/2011 23:36,19.9,13.8,21.3,16.7,-3.7,1.8,16.2,67000000000,0.21
8/31/2011 9:44,18.6,5.1,,,,,,27000000000,0.095
8/20/2011 20:01,27.2,2.8,,,,,,23000000000,0.082
8/18/2011 14:55,,,,,,,,23000000000,0.082
8/11/2011 2:56,,,,,,,,35000000000,0.12
8/4/2011 7:25,40.7,86.7,63,,,,,28000000000,0.098
7/27/2011 23:00,45.3,63.5,29.6,,,,,44000000000,0.15
7/7/2011 23:25,,,,,,,,33000000000,0.11
7/5/2011 15:42,29.1,139.7,40.7,,,,,65000000000,0.21
7/4/2011 9:18,51.7,175,,,,,,29000000000,0.1
6/16/2011 11:51,67.3,21.4,40.5,,,,,24000000000,0.086
5/25/2011 5:40,4.1,14,59,11.6,-3.4,-10.8,2.4,2280000000000,4.8
5/16/2011 13:39,1.2,92.8,,,,,,20000000000,0.073
4/27/2011 20:38,1.4,126.6,28.7,,,,,220000000000,0.61
4/27/2011 11:21,,,,,,,,24000000000,0.086
4/17/2011 11:21,,,,,,,,24000000000,0.086
4/11/2011 21:43,,,,,,,,38000000000,0.13
4/6/2011 8:30,71.1,43.5,22.2,12.7,3.3,11.8,-3.5,148000000000,0.43
3/24/2011 20:23,0.6,127.5,59,,,,,58000000000,0.19
3/23/2011 4:24,,,,,,,,31000000000,0.11
3/23/2011 4:16,16.8,85.6,,,,,,22000000000,0.079
3/1/2011 10:37,53.5,103.9,30.6,11.9,-6.7,-1.1,-9.8,37000000000,0.13
2/21/2011 5:07,26.3,43.7,44.4,18,10.3,-14.8,0.1,39000000000,0.13
2/12/2011 11:00,7.8,95.3,,,,,,20000000000,0.073
1/21/2011 15:11,18.9,44.6,61,,,,,72000000000,0.23
1/8/2011 19:38,33.3,125.8,48,,,,,29000000000,0.1
12/25/2010 23:24,38,158,26,18.1,18,-2,-4,20000000000000,33
12/14/2010 0:27,4.9,175.5,24,,,,,39000000000,0.13
12/9/2010 2:54,54.5,169.7,66,,,,,63000000000,0.2
12/1/2010 6:31,72.5,144.9,33.3,,,,,133000000000,0.39
11/21/2010 14:45,1.9,143.3,50,,,,,81000000000,0.25
11/19/2010 7:25,10.3,148.8,30,,,,,33000000000,0.11
11/10/2010 8:26,74.5,77.7,,,,,,68000000000,0.22
11/9/2010 13:05,56.3,16.7,37,,,,,86000000000,0.27
11/9/2010 6:56,14,160,26,,,,,20000000000,0.073
10/27/2010 11:27,14.1,67.7,35.2,,,,,145000000000,0.42
10/8/2010 9:58,,,,,,,,20000000000,0.073
9/24/2010 12:02,67.4,50.6,,,,,,50000000000,0.16
9/18/2010 5:04,7.4,36.7,,,,,,67000000000,0.21
9/8/2010 19:51,13.9,65.5,46.3,,,,,65000000000,0.21
9/5/2010 23:37,25.9,49,35.2,,,,,683000000000,1.7
9/3/2010 12:04,61,146.7,33.3,12.3,9.8,-3.5,6.5,1750000000000,3.8
8/17/2010 4:19,20.7,114.3,33.3,,,,,21000000000,0.076
8/12/2010 2:59,,,,,,,,28000000000,0.098
8/5/2010 19:31,21.5,46.6,,,,,,36000000000,0.12
7/15/2010 1:49,60.9,178.1,,,,,,24000000000,0.086
7/6/2010 23:54,34.1,174.5,26,15.7,12.1,10,0.2,7560000000000,14
6/26/2010 6:04,0.5,133.2,50,,,,,113000000000,0.34
6/21/2010 6:42,22.5,120.9,,,,,,163000000000,0.47
6/17/2010 4:24,26.1,100,42,,,,,119000000000,0.35
4/17/2010 2:21,13.1,173,,,,,,56000000000,0.18
4/16/2010 4:38,1.8,176.9,22.2,18.8,12.4,-13.2,-5.2,844000000000,2
4/6/2010 18:33,52.8,146.5,,,,,,80000000000,0.25
3/18/2010 16:11,32.4,51.8,,,,,,175000000000,0.5
3/15/2010 15:55,,,,,,,,80000000000,0.25
3/14/2010 18:44,33.8,90.2,35.6,,,,,42000000000,0.14
3/8/2010 22:44,18.2,110.1,53,,,,,30000000000,0.1
3/8/2010 22:02,32,92.9,52,24.5,19.1,11,10.7,323000000000,0.85
2/28/2010 22:24,48.7,21,37,15.1,-11.7,2.7,-9.1,153000000000,0.44
2/26/2010 22:46,37.3,166,,,,,,237000000000,0.65
2/24/2010 19:55,2.6,102.2,,,,,,93000000000,0.28
1/15/2010 19:17,8.3,27,25,14,-9.1,6,8.8,492000000000,1.2
12/31/2009 16:24,,,,,,,,83000000000,0.26
12/31/2009 12:50,37.9,178.3,20.7,,,,,102000000000,0.31
11/25/2009 1:36,52.8,136.5,,,,,,64000000000,0.2
11/21/2009 20:53,22,29.2,38,32.1,3,-17,27,10000000000000,18
11/18/2009 17:36,,,,,,,,85000000000,0.26
11/18/2009 7:07,40.4,113.2,31.5,,,,,736000000000,1.8
11/14/2009 19:58,,,,,,,,23000000000,0.082
11/7/2009 11:31,45.5,157.7,,,,,,22000000000,0.079
11/7/2009 10:41,24,64.1,37,,,,,42000000000,0.14
10/11/2009 12:49,78.3,70.2,27.8,,,,,71000000000,0.22
10/8/2009 2:57,4.2,120.6,19.1,19.2,14,-16,-6,20000000000000,33
9/27/2009 22:22,36,67.6,37,,,,,89000000000,0.27
9/18/2009 20:13,7.7,29.5,,,,,,144000000000,0.42
9/4/2009 2:23,42.5,110,28.3,24,19.2,-11.6,-8.5,965000000000,2.3
8/23/2009 21:17,67.7,18.3,34,12.2,-6.9,5.3,8.5,280000000000,0.75
7/31/2009 2:13,8.9,121.9,,,,,,25000000000,0.089
7/16/2009 6:39,24.4,59.8,32.2,,,,,727000000000,1.8
7/3/2009 4:02,,,,,,,,27000000000,0.095
6/27/2009 13:08,26.6,12.6,26.1,15.2,-11.6,1.6,9.7,32000000000,0.11
6/20/2009 11:04,,,,,,,,27000000000,0.095
6/18/2009 4:39,23.7,16,57.4,,,,,33000000000,0.11
6/9/2009 22:42,54.9,152.7,34.2,,,,,281000000000,0.76
5/31/2009 6:05,19.7,121,,,,,,143000000000,0.42
5/13/2009 20:20,,,,,,,,73000000000,0.23
5/4/2009 11:39,36.4,160.4,40.7,,,,,140000000000,0.41
4/20/2009 4:01,6,84.3,,,,,,22000000000,0.079
4/10/2009 18:42,44.7,25.7,32.4,19.1,-18.9,2.6,0.3,270000000000,0.73
3/15/2009 5:44,21.7,98.6,,,,,,32000000000,0.11
3/4/2009 0:38,,,,,,,,170000000000,0.48
3/1/2009 9:00,,,,,,,,20000000000,0.073
2/20/2009 12:15,64.9,70,,,,,,50000000000,0.16
2/7/2009 19:51,56.6,69.8,40,15.4,-2.4,-1.9,-15.1,1600000000000,3.5
1/12/2009 22:24,47.8,44.3,,,,,,48000000000,0.16
1/10/2009 7:42,64,122.8,26.5,,,,,23000000000,0.082
12/24/2008 15:51,68.9,102,21.1,24.1,-13.4,18,8.8,35000000000,0.12
12/12/2008 11:36,7,9.7,50,,,,,216000000000,0.6
12/9/2008 6:08,,,,,,,,34000000000,0.12
11/24/2008 22:01,57.9,146.1,34.8,23.7,21.5,10,0.4,146000000000,0.42
11/21/2008 0:26,53.1,109.9,28.2,12.9,3.9,-4.1,-11.6,142000000000,0.41
11/18/2008 9:41,29.4,75.9,35.2,22.4,-4,-15.2,-16,25000000000,0.089
11/9/2008 2:38,14.5,112.7,29.6,,,,,222000000000,0.61
10/21/2008 2:20,32.8,165.6,29.6,11.3,9.6,5.8,1.5,46000000000,0.15
10/10/2008 9:34,57.3,17,21.4,,,,,180000000000,0.51
10/7/2008 2:45,20.9,31.4,38.9,13.3,-9,9,3.8,395000000000,1
9/9/2008 9:49,,,,,,,,59000000000,0.19
8/16/2008 14:40,11.3,97.2,,,,,,131000000000,0.38
8/12/2008 11:44,11.6,175,,,,,,20000000000,0.073
8/7/2008 6:07,18.5,180,45.4,13.8,6.5,-12.1,1.7,41000000000,0.14
7/23/2008 14:45,38.6,68,31.5,14.5,-7.7,-8.2,-9.1,121000000000,0.36
7/22/2008 19:34,17.8,89.2,54.4,,,,,61000000000,0.2
7/11/2008 14:35,,,,,,,,52000000000,0.17
7/8/2008 15:55,72.8,147.3,52.2,21.7,-12.9,1.9,-17.4,66000000000,0.21
7/1/2008 17:40,37.1,115.7,36.1,9.8,2.8,1.7,-9.2,36000000000,0.12
6/27/2008 2:01,26.9,17.7,33.7,23.1,-17.9,13,6.6,172000000000,0.49
6/18/2008 13:45,6.1,103.1,,,,,,21000000000,0.076
5/29/2008 21:23,15.7,83.5,,,,,,21000000000,0.076
5/24/2008 10:18,0.8,162,37,14.2,7.9,3.1,11.4,150000000000,0.43
5/22/2008 20:50,46.9,134.5,,,,,,21000000000,0.076
5/15/2008 11:29,28,41.5,,,,,,80000000000,0.25
5/6/2008 1:08,,,,,,,,57000000000,0.18
4/30/2008 1:18,33.6,35.1,,,,,,20000000000,0.073
4/7/2008 1:22,31.8,58.5,,,,,,21000000000,0.076
4/6/2008 16:03,,,,,,,,77000000000,0.24
3/15/2008 11:29,28,41.5,26.7,12.9,-4.1,4.8,-11.2,50000000000,0.16
2/24/2008 19:33,,,,,,,,74000000000,0.23
2/19/2008 13:30,48.9,119.8,,,,,,20000000000,0.073
2/18/2008 8:51,,,,,,,,50000000000,0.16
2/17/2008 12:19,74.9,73.4,40.4,13.9,-5.8,-10.7,-6.7,110000000000,0.33
2/16/2008 8:38,,,,,,,,71000000000,0.22
1/18/2008 1:17,,,,,,,,44000000000,0.15
1/9/2008 3:53,66.8,67.3,31.5,11.6,4.3,5.7,9.1,41000000000,0.14
12/26/2007 6:46,61.6,158.9,,,,,,136000000000,0.4
12/20/2007 17:00,51.3,115.4,,,,,,122000000000,0.36
10/25/2007 19:35,40.9,91.3,46.3,,,,,58000000000,0.19
10/12/2007 9:14,88.5,116.6,37,18.4,-4.5,-14.1,-10.9,33000000000,0.11
10/7/2007 13:31,35.2,125.6,,,,,,58000000000,0.19
9/22/2007 17:57,49.2,85.5,30.2,16.9,-9.2,13.6,3.8,237000000000,0.65
6/11/2007 9:47,23.4,170.9,35.2,17,16.7,-2.1,-2.2,49000000000,0.16
6/8/2007 13:32,52,175.3,38.9,,,,,235000000000,0.65
6/7/2007 21:28,21.9,53.1,29.6,,,,,31000000000,0.11
5/16/2007 16:20,4.5,111.7,,,,,,38000000000,0.13
5/16/2007 4:45,42.4,164,31.5,,,,,400000000000,1
5/4/2007 17:52,22.9,109.4,48,,,,,175000000000,0.5
4/18/2007 12:44,83.7,171.2,38,24.4,-5.3,-2.5,23.7,112000000000,0.33
4/16/2007 14:56,,,,,,,,24000000000,0.086
3/17/2007 6:48,7.1,4.1,32.5,14.5,-7.3,-1.9,-12.4,40000000000,0.13
3/15/2007 2:20,44.1,148.4,,,,,,25000000000,0.089
3/7/2007 15:16,,,,,,,,27000000000,0.095
2/2/2007 12:48,24,37.2,35.5,,,,,340000000000,0.89
1/26/2007 22:22,3.7,99.7,,,,,,147000000000,0.43
1/22/2007 7:24,45.4,53.5,32,13.4,-3.3,-12.8,-1.9,76000000000,0.24
1/18/2007 13:51,5.3,164.3,34.1,,,,,32000000000,0.11
1/17/2007 9:50,8.7,50.8,33.3,,,,,548000000000,1.4
1/1/2007 11:43,44.4,116.5,53,,,,,36000000000,0.12
12/9/2006 6:31,26.2,26,26.5,15.9,4.9,-15,1.6,7410000000000,14
12/7/2006 11:42,14,140,,,,,,21000000000,0.076
12/1/2006 6:09,13,30.7,,,,,,63000000000,0.2
11/13/2006 15:16,44,43.3,,,,,,23000000000,0.082
10/24/2006 8:42,1.9,2.7,43,,,,,225000000000,0.62
10/14/2006 18:10,49.4,175,44.4,23.9,4.9,23.4,-1,258000000000,0.7
10/9/2006 4:45,47,78.9,22.2,,,,,41000000000,0.14
10/7/2006 12:18,23,61.8,40.7,,,,,41000000000,0.14
10/2/2006 19:10,14,53.1,42,,,,,90000000000,0.28
9/27/2006 8:33,32,60.2,48.1,,,,,107000000000,0.32
9/23/2006 18:52,29,108,,,,,,121000000000,0.36
9/2/2006 17:57,,,,,,,,22000000000,0.079
9/2/2006 4:26,14,109.1,44.1,14.2,10,-9.9,1.5,1230000000000,2.8
8/29/2006 1:38,44,162,40.7,,,,,92000000000,0.28
8/18/2006 0:03,43,33.4,47.2,,,,,32000000000,0.11
8/17/2006 10:43,11,165.7,48.2,,,,,256000000000,0.7
8/15/2006 10:52,4.9,49.6,32.7,,,,,47000000000,0.16
8/9/2006 4:30,23.1,53.7,37,,,,,1020000000000,2.4
7/15/2006 23:55,78.3,5,29.6,12.4,0.1,2,12.2,85000000000,0.26
7/15/2006 15:22,31.1,45.6,38.9,30.2,9.2,-1.2,-28.7,163000000000,0.47
6/7/2006 0:06,69.2,22.5,40.7,19.6,6.1,4.6,-18,59000000000,0.19
5/28/2006 1:32,,,,,,,,26000000000,0.092
5/21/2006 7:51,11.6,25.5,,,,,,263000000000,0.71
5/7/2006 17:45,,,,,,,,30000000000,0.1
5/6/2006 15:39,60.2,152.3,35.2,,,,,128000000000,0.38
4/25/2006 18:46,,,,,,,,20000000000,0.073
4/8/2006 13:16,17.3,113.2,33.3,,,,,127000000000,0.37
4/4/2006 11:30,26.6,26.6,25,,,,,2400000000000,5
3/14/2006 3:21,7,64.6,35.2,,,,,144000000000,0.42
2/26/2006 7:30,,,,,,,,70000000000,0.22
2/6/2006 1:57,54.5,18.1,35.2,,,,,1190000000000,2.7
2/4/2006 8:38,36.9,143.6,38.9,19.8,-8.8,3.4,-17.4,100000000000,0.3
1/28/2006 3:33,51.7,56.4,37,18.7,8.4,-16.4,3.2,740000000000,1.8
1/27/2006 1:27,58.7,74.7,20,,,,,45000000000,0.15
1/26/2006 0:00,79.8,111,37,,,,,53000000000,0.17
1/10/2006 23:25,29.8,12.7,32.4,16.9,-9.9,-6.3,-12.2,28000000000,0.098
1/8/2006 5:20,7.6,28.2,,,,,,94000000000,0.29
12/29/2005 10:05,3,154.9,42.2,20.7,18.6,8.5,3.2,190000000000,0.53
12/24/2005 15:30,54,17.3,66,,,,,181000000000,0.51
12/3/2005 12:45,33.8,117.4,32.2,17,-12.1,-9.6,7.2,88000000000,0.27
12/1/2005 10:40,6.4,155.8,,,,,,32000000000,0.11
11/29/2005 7:33,7.6,58.2,59.3,,,,,32000000000,0.11
11/15/2005 5:19,26.3,113.4,32.4,,,,,25000000000,0.089
11/11/2005 20:34,21.4,134.1,29.6,,,,,42000000000,0.14
11/9/2005 7:33,31,145.9,30.7,13.8,13.5,-2.7,-0.7,73000000000,0.23
11/2/2005 7:04,33.9,154.9,68.5,,,,,32000000000,0.11
11/2/2005 5:16,22.9,123.8,74,,,,,67000000000,0.21
10/26/2005 21:30,36.3,80.5,16.7,,,,,138000000000,0.4
9/30/2005 19:04,2.8,84.1,53,,,,,22000000000,0.079
9/14/2005 1:08,11.6,27.3,33.3,,,,,25000000000,0.089
9/2/2005 7:59,13.5,73.1,,,,,,82000000000,0.25
8/20/2005 12:10,,,,,,,,27000000000,0.095
8/9/2005 14:35,21.5,56.2,37,16.9,-16.3,4.3,1.4,25000000000,0.089
7/1/2005 22:36,49.8,33.1,50,,,,,31000000000,0.11
6/18/2005 19:40,47.9,85.6,,,,,,23000000000,0.082
6/5/2005 1:56,34.8,90.9,,,,,,41000000000,0.14
6/3/2005 8:15,31,90.3,29.6,26.2,-1.5,25.3,6.7,82000000000,0.25
5/27/2005 14:12,48.9,145.1,50.5,,,,,20000000000,0.073
5/14/2005 13:02,,,,,,,,129000000000,0.38
5/7/2005 9:31,75.8,163.7,15.2,16.6,9.6,-9.7,9.4,26000000000,0.092
5/2/2005 20:10,17.7,36,,,,,,46000000000,0.15
4/22/2005 11:18,20.9,36.7,37,,,,,22000000000,0.079
4/19/2005 7:37,50.2,146.4,38.5,16.8,9.3,13.8,2.5,232000000000,0.64
4/16/2005 10:40,,,,,,,,20000000000,0.073
4/15/2005 6:54,43.8,73.9,39,,,,,21000000000,0.076
4/14/2005 14:05,4.9,176,26.5,,,,,71000000000,0.22
4/11/2005 5:20,34.2,95.7,37,,,,,106000000000,0.32
4/6/2005 1:30,42.7,154.6,70,,,,,29000000000,0.1
4/5/2005 17:48,,,,,,,,35000000000,0.12
4/3/2005 1:45,1,112.4,59.2,,,,,219000000000,0.61
4/2/2005 22:52,14.1,169.7,27.2,,,,,204000000000,0.57
3/31/2005 22:15,42.8,36.2,,,,,,38000000000,0.13
3/18/2005 16:48,9.7,34.7,33,,,,,27000000000,0.095
3/12/2005 22:16,,,,,,,,22000000000,0.079
3/9/2005 15:47,21.4,157.9,44.4,,,,,53000000000,0.17
3/9/2005 12:49,14.3,142.7,30.7,,,,,40000000000,0.13
3/6/2005 17:32,,,,,,,,55000000000,0.18
2/22/2005 22:51,,,,,,,,41000000000,0.14
2/17/2005 22:52,48,161.5,42.5,,,,,100000000000,0.3
1/19/2005 1:43,27.5,164.9,40.7,,,,,141000000000,0.41
1/2/2005 23:09,21.3,154.7,35.2,21.5,20.2,-3.3,6.6,119000000000,0.35
1/1/2005 3:44,32.7,12.4,31.8,,,,,454000000000,1.2
12/29/2004 7:11,8.5,171.8,,,,,,90000000000,0.28
12/13/2004 11:35,9.7,155.3,,,,,,39000000000,0.13
12/11/2004 15:36,36,104.1,,,,,,30000000000,0.1
11/30/2004 8:32,61,171,,,,,,181000000000,0.51
11/17/2004 3:13,,,,,,,,186000000000,0.52
10/14/2004 11:41,,,,,,,,93000000000,0.28
10/10/2004 11:05,,,,,,,,30000000000,0.1
10/7/2004 13:14,27.3,71.5,35,19.2,-15.3,1,11.6,10400000000000,18
10/4/2004 4:39,3.7,150.9,,,,,,71000000000,0.22
9/28/2004 8:57,0.2,101.1,,,,,,62000000000,0.2
9/3/2004 12:07,67.7,18.2,31.5,,,,,7260000000000,13
8/22/2004 10:01,51.9,22.7,37,,,,,1440000000000,3.2
7/29/2004 12:41,,,,,,,,25000000000,0.089
7/25/2004 5:29,,,,,,,,197000000000,0.55
7/22/2004 3:34,,,,,,,,35000000000,0.12
7/16/2004 0:11,,,,,,,,29000000000,0.1
7/4/2004 16:58,,,,,,,,79000000000,0.25
7/3/2004 20:47,,,,,,,,65000000000,0.21
6/12/2004 7:13,21.7,175.3,,,,,,104000000000,0.31
6/11/2004 15:41,,,,,,,,104000000000,0.31
6/5/2004 20:34,1.3,174.4,43,19.5,9.4,17,-1.5,1810000000000,3.9
6/4/2004 13:41,,,,,,,,339000000000,0.89
6/3/2004 21:59,,,,,,,,47000000000,0.16
6/3/2004 9:40,48.9,120.4,,,,,,54000000000,0.18
5/18/2004 11:12,28.1,47.4,,,,,,394000000000,1
5/17/2004 2:08,18.9,28.3,44,,,,,55000000000,0.18
5/6/2004 2:22,,,,,,,,49000000000,0.16
4/23/2004 0:33,,,,,,,,56000000000,0.18
4/22/2004 21:19,15.2,55.1,,,,,,139000000000,0.41
4/22/2004 4:21,44.3,83.3,29.6,16.3,8.5,-12.1,-6.8,624000000000,1.5
4/6/2004 3:24,12,162.8,35,25.6,10.5,-23.2,-2.9,433000000000,1.1
3/26/2004 16:35,7.6,155.1,46,,,,,24000000000,0.086
3/25/2004 9:39,4.8,21,,,,,,21000000000,0.076
2/27/2004 1:18,,,,,,,,60000000000,0.19
2/2/2004 18:52,18.3,52.3,,,,,,30000000000,0.1
1/22/2004 1:06,50.6,157.8,37,,,,,232000000000,0.64
1/17/2004 20:11,,,,,,,,28000000000,0.098
1/16/2004 11:17,,,,,,,,98000000000,0.3
1/2/2004 4:27,28.2,3.2,63,,,,,134000000000,0.39
12/9/2003 22:36,67.1,90.8,,,,,,643000000000,1.6
11/26/2003 2:00,22.9,22.7,32,,,,,35000000000,0.12
11/10/2003 13:54,64.5,136.2,23,20.1,14.8,-8.7,10.4,518000000000,1.3
11/1/2003 14:09,51.4,151.7,,,,,,73000000000,0.23
10/16/2003 0:47,,,,,,,,285000000000,0.77
10/13/2003 14:06,,,,,,,,30000000000,0.1
10/7/2003 0:23,,,,,,,,37000000000,0.13
9/27/2003 12:59,21,86.6,26,18.2,-1,-5.4,-17.3,2150000000000,4.6
9/22/2003 3:45,,,,,,,,33000000000,0.11
9/21/2003 7:40,,,,,,,,20000000000,0.073
9/20/2003 19:04,,,,,,,,30000000000,0.1
9/2/2003 20:00,51.3,161,,,,,,385000000000,1
8/26/2003 22:08,,,,,,,,72000000000,0.23
8/26/2003 8:44,,,,,,,,249000000000,0.68
8/17/2003 13:16,39,34,,,,,,647000000000,1.6
8/1/2003 4:09,,,,,,,,21000000000,0.076
7/21/2003 5:11,,,,,,,,58000000000,0.19
6/22/2003 22:53,,,,,,,,21000000000,0.076
6/21/2003 14:49,,,,,,,,38000000000,0.13
6/16/2003 17:17,,,,,,,,65000000000,0.21
6/10/2003 14:11,41.8,122.9,,,,,,32000000000,0.11
5/27/2003 23:32,5.2,166.2,,,,,,68000000000,0.22
5/19/2003 3:38,,,,,,,,521000000000,1.3
