,Peak Brightness Date/Time (UT),Latitude (deg.),Longitud (dg.),Altitude (km),Velocity (km/s),vx,vy,vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt),Sighting Year,Sighting Month
458,2010-04-16 04:38:00,1.8,176.9,22.2,18.8,12.4,-13.2,-5.2,844000000000,2.0,2010,April
464,2010-03-08 22:02:00,32.0,92.9,52.0,24.5,19.1,11.0,10.7,323000000000,0.85,2010,March
465,2010-02-28 22:24:00,48.7,21.0,37.0,15.1,-11.7,2.7,-9.1,153000000000,0.44,2010,February
468,2010-01-15 19:17:00,8.3,27.0,25.0,14.0,-9.1,6.0,8.8,492000000000,1.2,2010,January
472,2009-11-21 20:53:00,22.0,29.2,38.0,32.1,3.0,-17.0,27.0,10000000000000,18.0,2009,November
479,2009-10-08 02:57:00,4.2,120.6,19.1,19.2,14.0,-16.0,-6.0,20000000000000,33.0,2009,October
482,2009-09-04 02:23:00,42.5,110.0,28.3,24.0,19.2,-11.6,-8.5,965000000000,2.3,2009,September
483,2009-08-23 21:17:00,67.7,18.3,34.0,12.2,-6.9,5.3,8.5,280000000000,0.75,2009,August
487,2009-06-27 13:08:00,26.6,12.6,26.1,15.2,-11.6,1.6,9.7,32000000000,0.11,2009,June
495,2009-04-10 18:42:00,44.7,25.7,32.4,19.1,-18.9,2.6,0.3,270000000000,0.73,2009,April
500,2009-02-07 19:51:00,56.6,69.8,40.0,15.4,-2.4,-1.9,-15.1,1600000000000,3.5,2009,February
503,2008-12-24 15:51:00,68.9,102.0,21.1,24.1,-13.4,18.0,8.8,35000000000,0.12,2008,December
506,2008-11-24 22:01:00,57.9,146.1,34.8,23.7,21.5,10.0,0.4,146000000000,0.42,2008,November
507,2008-11-21 00:26:00,53.1,109.9,28.2,12.9,3.9,-4.1,-11.6,142000000000,0.41,2008,November
508,2008-11-18 09:41:00,29.4,75.9,35.2,22.4,-4.0,-15.2,-16.0,25000000000,0.09,2008,November
510,2008-10-21 02:20:00,32.8,165.6,29.6,11.3,9.6,5.8,1.5,46000000000,0.15,2008,October
512,2008-10-07 02:45:00,20.9,31.4,38.9,13.3,-9.0,9.0,3.8,395000000000,1.0,2008,October
516,2008-08-07 06:07:00,18.5,180.0,45.4,13.8,6.5,-12.1,1.7,41000000000,0.14,2008,August
517,2008-07-23 14:45:00,38.6,68.0,31.5,14.5,-7.7,-8.2,-9.1,121000000000,0.36,2008,July
520,2008-07-08 15:55:00,72.8,147.3,52.2,21.7,-12.9,1.9,-17.4,66000000000,0.21,2008,July
521,2008-07-01 17:40:00,37.1,115.7,36.1,9.8,2.8,1.7,-9.2,36000000000,0.12,2008,July
522,2008-06-27 02:01:00,26.9,17.7,33.7,23.1,-17.9,13.0,6.6,172000000000,0.49,2008,June
525,2008-05-24 10:18:00,0.8,162.0,37.0,14.2,7.9,3.1,11.4,150000000000,0.43,2008,May
532,2008-03-15 11:29:00,28.0,41.5,26.7,12.9,-4.1,4.8,-11.2,50000000000,0.16,2008,March
536,2008-02-17 12:19:00,74.9,73.4,40.4,13.9,-5.8,-10.7,-6.7,110000000000,0.33,2008,February
539,2008-01-09 03:53:00,66.8,67.3,31.5,11.6,4.3,5.7,9.1,41000000000,0.14,2008,January
543,2007-10-12 09:14:00,88.5,116.6,37.0,18.4,-4.5,-14.1,-10.9,33000000000,0.11,2007,October
545,2007-09-22 17:57:00,49.2,85.5,30.2,16.9,-9.2,13.6,3.8,237000000000,0.65,2007,September
546,2007-06-11 09:47:00,23.4,170.9,35.2,17.0,16.7,-2.1,-2.2,49000000000,0.16,2007,June
552,2007-04-18 12:44:00,83.7,171.2,38.0,24.4,-5.3,-2.5,23.7,112000000000,0.33,2007,April
554,2007-03-17 06:48:00,7.1,4.1,32.5,14.5,-7.3,-1.9,-12.4,40000000000,0.13,2007,March
559,2007-01-22 07:24:00,45.4,53.5,32.0,13.4,-3.3,-12.8,-1.9,76000000000,0.24,2007,January
563,2006-12-09 06:31:00,26.2,26.0,26.5,15.9,4.9,-15.0,1.6,7410000000000,14.0,2006,December
568,2006-10-14 18:10:00,49.4,175.0,44.4,23.9,4.9,23.4,-1.0,258000000000,0.7,2006,October
575,2006-09-02 04:26:00,14.0,109.1,44.1,14.2,10.0,-9.9,1.5,1230000000000,2.8,2006,September
581,2006-07-15 23:55:00,78.3,5.0,29.6,12.4,0.1,2.0,12.2,85000000000,0.26,2006,July
582,2006-07-15 15:22:00,31.1,45.6,38.9,30.2,9.2,-1.2,-28.7,163000000000,0.47,2006,July
583,2006-06-07 00:06:00,69.2,22.5,40.7,19.6,6.1,4.6,-18.0,59000000000,0.19,2006,June
594,2006-02-04 08:38:00,36.9,143.6,38.9,19.8,-8.8,3.4,-17.4,100000000000,0.3,2006,February
595,2006-01-28 03:33:00,51.7,56.4,37.0,18.7,8.4,-16.4,3.2,740000000000,1.8,2006,January
598,2006-01-10 23:25:00,29.8,12.7,32.4,16.9,-9.9,-6.3,-12.2,28000000000,0.1,2006,January
600,2005-12-29 10:05:00,3.0,154.9,42.2,20.7,18.6,8.5,3.2,190000000000,0.53,2005,December
602,2005-12-03 12:45:00,33.8,117.4,32.2,17.0,-12.1,-9.6,7.2,88000000000,0.27,2005,December
607,2005-11-09 07:33:00,31.0,145.9,30.7,13.8,13.5,-2.7,-0.7,73000000000,0.23,2005,November
615,2005-08-09 14:35:00,21.5,56.2,37.0,16.9,-16.3,4.3,1.4,25000000000,0.09,2005,August
619,2005-06-03 08:15:00,31.0,90.3,29.6,26.2,-1.5,25.3,6.7,82000000000,0.25,2005,June
622,2005-05-07 09:31:00,75.8,163.7,15.2,16.6,9.6,-9.7,9.4,26000000000,0.09,2005,May
625,2005-04-19 07:37:00,50.2,146.4,38.5,16.8,9.3,13.8,2.5,232000000000,0.64,2005,April
643,2005-01-02 23:09:00,21.3,154.7,35.2,21.5,20.2,-3.3,6.6,119000000000,0.35,2005,January
652,2004-10-07 13:14:00,27.3,71.5,35.0,19.2,-15.3,1.0,11.6,10400000000000,18.0,2004,October
665,2004-06-05 20:34:00,1.3,174.4,43.0,19.5,9.4,17.0,-1.5,1810000000000,3.9,2004,June
674,2004-04-22 04:21:00,44.3,83.3,29.6,16.3,8.5,-12.1,-6.8,624000000000,1.5,2004,April
675,2004-04-06 03:24:00,12.0,162.8,35.0,25.6,10.5,-23.2,-2.9,433000000000,1.1,2004,April
686,2003-11-10 13:54:00,64.5,136.2,23.0,20.1,14.8,-8.7,10.4,518000000000,1.3,2003,November
691,2003-09-27 12:59:00,21.0,86.6,26.0,18.2,-1.0,-5.4,-17.3,2150000000000,4.6,2003,September
851,1998-01-04 23:00:00,35.1,33.4,30.0,17.1,6.0,-10.6,12.0,74000000000,0.23,1998,January
