,Peak Brightness Date/Time (UT),Latitude (deg.),Longitud (dg.),Altitude (km),Velocity (km/s),vx,vy,vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt),Sighting Year,Sighting Month
85,2020-10-26 15:09:00,5.9,160.4,28.5,17.6,10.9,-13.8,-0.1,114000000000,0.34,2020,October
87,2020-10-22 17:39:00,22.0,133.5,40.0,17.6,-9.4,14.1,-4.9,44000000000,0.15,2020,October
91,2020-10-18 10:52:00,11.4,135.8,36.0,16.4,15.6,1.5,4.9,36000000000,0.12,2020,October
92,2020-09-18 08:05:00,2.4,169.7,46.0,11.7,10.2,2.9,-4.9,41000000000,0.14,2020,September
93,2020-08-30 16:08:00,26.0,133.5,27.8,23.4,7.8,-21.7,3.7,64000000000,0.2,2020,August
94,2020-08-02 16:36:00,35.1,34.2,38.0,11.1,0.5,6.0,9.3,74000000000,0.23,2020,August
96,2020-07-20 21:25:00,51.8,11.2,31.6,14.1,-2.9,-1.0,-13.8,50000000000,0.16,2020,July
97,2020-07-12 07:50:00,48.7,74.0,29.4,18.3,-5.0,-13.0,-11.9,75000000000,0.23,2020,July
98,2020-05-27 17:30:00,40.8,41.7,29.3,14.9,-6.0,-7.3,-11.5,57000000000,0.18,2020,May
102,2020-05-09 02:56:00,44.8,131.0,31.2,14.5,-13.0,-4.0,-5.0,41000000000,0.14,2020,May
106,2020-03-26 23:27:00,38.3,23.5,26.5,20.7,-10.0,3.2,17.8,124000000000,0.37,2020,March
109,2020-03-04 20:25:00,53.3,90.8,24.3,19.8,-5.2,2.2,19.0,394000000000,1.0,2020,March
110,2020-02-28 09:30:00,45.7,15.1,34.5,21.5,-18.2,-11.3,-2.1,115000000000,0.34,2020,February
112,2020-02-10 23:48:00,28.2,76.7,41.7,31.7,-27.8,-14.3,-5.2,27000000000,0.1,2020,February
113,2020-01-27 05:39:00,30.4,1.5,32.5,19.8,-2.0,-16.6,-10.6,44000000000,0.15,2020,January
114,2020-01-24 11:13:00,28.0,35.8,32.0,21.2,-18.6,-9.0,-4.7,26000000000,0.09,2020,January
115,2020-01-21 20:07:00,33.1,34.3,43.3,27.4,-7.5,-23.5,-11.9,28000000000,0.1,2020,January
116,2020-01-17 21:29:00,19.4,66.0,14.5,15.5,-13.2,8.1,1.2,97000000000,0.29,2020,January
117,2020-01-16 09:31:00,71.7,116.4,27.8,12.9,9.8,-4.5,7.0,59000000000,0.19,2020,January
120,2019-12-21 14:30:00,56.5,147.6,35.5,22.2,14.9,-8.1,-14.3,65000000000,0.21,2019,December
121,2019-12-11 01:19:00,47.7,161.7,37.0,17.8,13.7,-10.9,-3.3,39000000000,0.13,2019,December
124,2019-11-28 20:30:00,35.7,31.7,35.0,13.0,-11.6,-2.5,-5.4,27000000000,0.1,2019,November
126,2019-11-28 11:55:00,22.1,25.7,22.5,24.7,-22.8,-5.5,7.6,25000000000,0.09,2019,November
127,2019-11-05 11:24:00,10.4,143.3,38.0,27.4,5.2,12.3,23.9,110000000000,0.33,2019,November
129,2019-10-10 16:16:00,44.3,122.9,47.3,14.1,1.5,-12.9,-5.4,206000000000,0.57,2019,October
130,2019-09-28 10:40:00,12.5,107.2,52.0,20.4,-10.1,11.2,13.7,23000000000,0.08,2019,September
132,2019-09-14 12:39:00,38.6,33.5,38.0,15.9,-12.9,8.1,4.6,109000000000,0.33,2019,September
133,2019-09-13 02:02:00,18.6,126.9,27.4,13.5,5.2,-8.1,9.5,42000000000,0.14,2019,September
134,2019-09-12 12:49:00,54.5,9.2,42.0,18.5,-18.1,-0.4,3.7,169000000000,0.48,2019,September
135,2019-09-12 02:34:00,24.9,47.8,30.6,17.2,-11.7,11.7,4.6,59000000000,0.19,2019,September
136,2019-08-24 12:02:00,21.9,130.4,39.8,13.4,11.1,-5.2,5.4,40000000000,0.13,2019,August
138,2019-08-16 20:36:00,38.9,7.0,36.0,14.9,-3.9,4.0,-13.8,25000000000,0.09,2019,August
139,2019-07-23 20:42:00,44.6,147.6,30.6,16.1,1.5,15.1,-5.5,255000000000,0.69,2019,July
140,2019-06-30 16:52:00,21.2,129.5,59.0,42.3,25.2,31.2,-13.3,32000000000,0.11,2019,June
142,2019-06-22 21:25:00,14.9,66.2,25.0,14.9,-13.4,6.0,2.5,2950000000000,6.0,2019,June
144,2019-05-26 10:07:00,56.6,25.3,24.4,17.5,3.8,-5.8,16.1,42000000000,0.14,2019,May
145,2019-05-25 06:44:00,19.2,89.4,29.2,15.8,0.2,-15.7,2.1,49000000000,0.16,2019,May
147,2019-05-21 13:21:00,38.8,137.5,31.5,11.5,4.4,-8.5,6.4,656000000000,1.6,2019,May
148,2019-05-19 14:47:00,23.6,132.8,33.3,15.2,7.3,-12.2,5.3,33000000000,0.11,2019,May
151,2019-04-22 21:42:00,48.8,67.8,33.3,11.4,3.4,-4.2,10.0,124000000000,0.37,2019,April
152,2019-04-14 17:54:00,18.3,74.6,30.6,15.9,-2.5,5.9,-14.6,29000000000,0.1,2019,April
153,2019-04-06 11:59:00,56.5,94.9,41.5,18.1,6.2,11.1,-12.9,70000000000,0.22,2019,April
156,2019-03-19 02:06:00,24.0,140.3,28.7,16.2,10.2,0.4,12.6,20000000000,0.07,2019,March
157,2019-03-15 12:26:00,63.7,95.7,31.5,14.4,5.4,-13.2,1.7,46000000000,0.15,2019,March
158,2019-02-18 10:00:00,15.5,25.3,26.0,20.8,-16.6,-12.6,0.6,1960000000000,4.2,2019,February
159,2019-02-01 18:17:00,22.5,83.8,23.7,16.3,-2.4,13.6,8.7,579000000000,1.4,2019,February
161,2019-01-22 09:18:00,18.0,6.5,42.5,11.6,-8.6,-5.9,5.0,36000000000,0.12,2019,January
162,2018-12-23 23:38:00,47.5,174.4,31.8,16.5,9.9,7.6,10.8,89000000000,0.27,2018,December
163,2018-12-18 23:48:00,56.9,172.4,26.0,13.6,6.3,-3.0,-31.2,31300000000000,49.0,2018,December
164,2018-11-20 17:30:00,25.3,6.7,27.4,17.4,-10.1,13.9,3.0,422000000000,1.1,2018,November
