Peak Brightness Date/Time (UT),Latitude (deg.),Longitud (dg.),Altitude (km),Velocity (km/s),vx,vy,vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt),year
2021-09-06 17:55:00.000000,2.1,111.8,26.0,13.6,-4.4,6.9,10.9,31000000000,0.11,2021
2021-07-30 08:06:00.000000,7.8,90.1,63.0,,,,,146000000000,0.42,2021
2021-07-29 13:19:00.000000,42.4,98.4,26.4,14.7,-1.6,-11.9,-8.4,37000000000,0.13,2021
2021-07-07 13:41:00.000000,,,,,,,,33000000000,0.11,2021
2021-07-05 03:46:00.000000,44.3,164.2,43.4,15.7,0.7,15.7,-0.5,740000000000,1.8,2021
2021-06-09 05:43:00.000000,17.9,55.3,,,,,,23000000000,0.08,2021
2021-05-16 15:51:00.000000,52.1,171.2,37.0,,,,,38000000000,0.13,2021
2021-05-06 05:54:00.000000,34.7,141.0,31.0,26.6,9.6,-24.4,-4.6,21000000000,0.08,2021
2021-05-02 14:12:00.000000,12.3,43.4,,,,,,25000000000,0.09,2021
2021-04-13 02:16:00.000000,26.8,79.1,44.4,14.1,-2.8,12.6,5.6,21000000000,0.08,2021
2021-04-02 15:52:00.000000,71.2,106.7,40.0,14.1,-8.9,6.3,-9.0,137000000000,0.4,2021
2021-03-06 08:43:00.000000,48.6,90.4,31.1,18.1,12.7,-4.7,12.0,141000000000,0.41,2021
2021-03-05 13:50:00.000000,81.1,141.1,32.5,23.3,10.1,-8.4,19.2,39000000000,0.13,2021
2021-02-28 03:47:00.000000,9.2,64.1,,,,,,28000000000,0.1,2021
2021-02-09 23:27:00.000000,75.8,92.8,31.0,13.1,-5.2,6.3,-10.3,30000000000,0.1,2021
2021-02-02 10:03:00.000000,48.7,80.1,20.0,12.8,4.0,-6.7,-10.1,31000000000,0.11,2021
2021-01-31 02:59:00.000000,5.3,115.2,39.4,15.2,14.0,-5.8,1.7,267000000000,0.72,2021
2021-01-29 16:12:00.000000,38.8,51.3,30.0,14.3,-14.2,1.9,-0.6,77000000000,0.24,2021
2021-01-25 03:01:00.000000,38.5,47.6,19.1,,,,,75000000000,0.23,2021
2021-01-24 07:33:00.000000,45.0,95.5,37.5,19.2,13.3,-3.7,13.3,61000000000,0.2,2021
2020-12-29 20:32:00.000000,14.9,158.2,33.0,14.4,-3.0,10.2,-9.7,49000000000,0.16,2020
2020-12-28 17:27:00.000000,36.8,54.7,28.3,15.2,1.5,3.5,-14.7,57000000000,0.18,2020
2020-12-22 23:23:00.000000,31.9,96.2,35.5,13.6,-2.6,5.9,-12.1,4900000000000,9.5,2020
2020-11-28 16:34:00.000000,33.3,135.1,28.1,19.6,1.8,-16.5,-10.4,26000000000,0.09,2020
2020-11-25 12:20:00.000000,30.5,81.0,,,,,,21000000000,0.08,2020
2020-11-07 21:27:00.000000,59.8,16.8,22.3,16.7,-10.8,1.2,-12.7,111000000000,0.33,2020
2020-10-26 15:09:00.000000,5.9,160.4,28.5,17.6,10.9,-13.8,-0.1,114000000000,0.34,2020
2020-10-23 20:51:00.000000,30.0,71.9,48.0,,,,,80000000000,0.25,2020
2020-10-22 17:39:00.000000,22.0,133.5,40.0,17.6,-9.4,14.1,-4.9,44000000000,0.15,2020
2020-10-21 18:57:00.000000,12.9,150.2,,,,,,22000000000,0.08,2020
2020-10-21 06:38:00.000000,29.7,93.9,39.0,,,,,27000000000,0.1,2020
2020-10-19 07:05:00.000000,48.6,93.9,40.7,,,,,21000000000,0.08,2020
2020-10-18 10:52:00.000000,11.4,135.8,36.0,16.4,15.6,1.5,4.9,36000000000,0.12,2020
2020-09-18 08:05:00.000000,2.4,169.7,46.0,11.7,10.2,2.9,-4.9,41000000000,0.14,2020
2020-08-30 16:08:00.000000,26.0,133.5,27.8,23.4,7.8,-21.7,3.7,64000000000,0.2,2020
2020-08-02 16:36:00.000000,35.1,34.2,38.0,11.1,0.5,6.0,9.3,74000000000,0.23,2020
2020-07-22 02:55:00.000000,20.0,103.8,36.0,,,,,22000000000,0.08,2020
2020-07-20 21:25:00.000000,51.8,11.2,31.6,14.1,-2.9,-1.0,-13.8,50000000000,0.16,2020
2020-07-12 07:50:00.000000,48.7,74.0,29.4,18.3,-5.0,-13.0,-11.9,75000000000,0.23,2020
2020-05-27 17:30:00.000000,40.8,41.7,29.3,14.9,-6.0,-7.3,-11.5,57000000000,0.18,2020
2020-05-18 01:11:00.000000,38.7,77.2,25.0,,,,,162000000000,0.46,2020
2020-05-12 23:22:00.000000,15.9,174.2,,,,,,83000000000,0.26,2020
2020-05-09 09:37:00.000000,7.2,44.2,52.5,,,,,41000000000,0.14,2020
2020-05-09 02:56:00.000000,44.8,131.0,31.2,14.5,-13.0,-4.0,-5.0,41000000000,0.14,2020
2020-04-28 05:43:00.000000,20.1,109.4,,,,,,21000000000,0.08,2020
2020-04-18 13:08:00.000000,12.5,49.8,,,,,,27000000000,0.1,2020
2020-04-14 11:11:00.000000,65.6,45.6,,,,,,20000000000,0.07,2020
2020-03-26 23:27:00.000000,38.3,23.5,26.5,20.7,-10.0,3.2,17.8,124000000000,0.37,2020
2020-03-23 16:51:00.000000,24.4,67.9,25.0,,,,,133000000000,0.39,2020
2020-03-22 06:44:00.000000,,,,,,,,25000000000,0.09,2020
2020-03-04 20:25:00.000000,53.3,90.8,24.3,19.8,-5.2,2.2,19.0,394000000000,1.0,2020
2020-02-28 09:30:00.000000,45.7,15.1,34.5,21.5,-18.2,-11.3,-2.1,115000000000,0.34,2020
2020-02-24 22:21:00.000000,3.6,96.0,,,,,,20000000000,0.07,2020
